,Element,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,ElectronAffinity,Pauling,WorkFunction,dBandCenter
0,Au,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,2.31,2.54,6.01,-3.56
1,Co,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,0.66,1.88,5.76,-1.17
2,Cu,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,1.24,1.9,5.3,-2.67
3,Ir,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,1.57,2.2,6.63,-2.11
4,Ni,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,1.16,1.91,5.77,-1.29
5,Pd,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,0.56,2.2,5.9,-1.83
6,Pt,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,2.13,2.28,6.74,-2.25
7,Re,75,186.21,7,6,1.88,1.46,3459,5869,60.4,20.8,7.83,2.58,0.15,1.9,5.88,-0.51
8,Rh,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,1.14,2.28,5.91,-1.73
9,Ru,44,101.07,8,5,1.78,1.42,2607,4423,38.6,12.1,7.36,2.58,1.05,2.2,5.73,-1.41
10,Fe,26,55.85,8,4,1.56,1.64,1811,3134,13.8,7.87,7.9,2.45,0.15,1.83,5.54,-0.92
