Catalyst,B.E.
W9Zr3,-1.491717859
Cr9Sn3,-0.121603185
Sc3V9,-2.570685965
Sc3V9,-2.781634327
Cd9Pd3,2.8824223
Cu3Sc9,0.942444239
In9Sc3,0.003356932
Pt9Ti3,-0.251118623
Cr3Nb9,-0.862596923
La9Zn3,0.753463491
Ag9Ni3,1.4047598
Pb12,0.901261306
Hg9La3,1.776883366
Hg9La3,-1.056744568
In3V9,-0.758591748
In3V9,3.192983102
Ag12,1.961799686
Ag12,2.050680501
Ni9Zr3,0.23585535
Ti3W9,-0.974685511
Ag12,3.426808483
Cr9V3,-2.87348336
Cr9V3,-2.739231372
Pt3Ru9,0.521436239
Cr9Pt3,-0.568147572
Cr9Pd3,2.441892036
Au3Cr9,-1.856599251
Ag3Cr9,-1.800181617
Cr9Pd3,-2.100830537
Cr9Cu3,-2.334564079
Cr9Cu3,-1.614427187
Al3Cr9,-0.397038445
Al3Cr9,-1.735029401
Al3Cr9,-1.860474696
Al3Cr9,-1.358409834
Cr9Ga3,-1.706232681
Cr9In3,-1.315309995
Cr9Tl3,-1.272218048
Cr9Tl3,-1.612913145
Cr9In3,-1.692130926
La3Mo9,-1.713566013
Mo9W3,-2.082476459
Mo9W3,-2.244281198
Mo9Re3,-1.826224952
Mo9Re3,-1.860074553
Mo9Tc3,-1.922964007
Mo9Tc3,-1.882366935
Mo9Re3,-1.904553465
Mo9Os3,-1.660774976
Mo9Os3,-1.544850127
Mo9Ru3,-1.392862167
Mo9Os3,-1.818592159
Ir3Mo9,-1.744509847
Ir3Mo9,-1.871801027
Mo9Rh3,-0.807264887
Ir3Mo9,-1.30007611
Mo9Rh3,-1.824438933
Mo9Rh3,1.693175435
Mo9Rh3,-1.963998229
Mo9Rh3,-1.44913871
Mo9Ni3,-1.922453385
Mo9Ni3,-1.444118346
Fe3Mo9,-1.852608157
Fe3Mo9,-0.857780508
Mn3Mo9,-1.85635326
Fe3Mo9,-1.849761166
Fe3Mo9,0.350377452
Mn3Mo9,-0.846077844
Fe3Mo9,-1.747040097
Mn3Mo9,-1.890352524
Mn3Mo9,-0.000286808
Mo9Pt3,-1.91795616
Mo9Pt3,-1.956145976
Mo9Pd3,-0.904639872
Mo9Pd3,2.612903747
Au3Mo9,-0.806332489
Au3Mo9,2.957128433
Ag3Mo9,3.073735743
Ag3Mo9,-0.774689187
Cu3Mo9,-1.299442085
Cu3Mo9,-1.983051232
Mo9Zn3,-1.814325006
Cu3Mo9,-1.974242091
Hg3Mo9,-1.480569083
