Equation,activationEnergy,chemicalComposition,facet,reactionEnergy
H2O(g) - H2(g) + * -> O*,,W9Zr3,111,-1.4917179
H2O(g) - H2(g) + * -> O*,,Cr9Sn3,111,-0.1216032
H2O(g) - H2(g) + * -> O*,,Sc3V9,111,-2.570686
H2O(g) - H2(g) + * -> O*,,Sc3V9,111,-2.7816343
H2O(g) - H2(g) + * -> O*,,Cd9Pd3,111,2.8824223
H2O(g) - H2(g) + * -> O*,,Cu3Sc9,111,0.94244424
H2O(g) - H2(g) + * -> O*,,In9Sc3,111,0.00335693
H2O(g) - H2(g) + * -> O*,,Pt9Ti3,111,-0.2511186
H2O(g) - H2(g) + * -> O*,,Cr3Nb9,111,-0.8625969
H2O(g) - H2(g) + * -> O*,,La9Zn3,111,0.75346349
H2O(g) - H2(g) + * -> O*,,Ag9Ni3,111,1.4047598
H2O(g) - H2(g) + * -> O*,,Pb12,111,0.90126131
H2O(g) - H2(g) + * -> O*,,Hg9La3,111,1.77688337
H2O(g) - H2(g) + * -> O*,,Hg9La3,111,-1.0567446
H2O(g) - H2(g) + * -> O*,,In3V9,111,-0.7585917
H2O(g) - H2(g) + * -> O*,,In3V9,111,3.1929831
H2O(g) - H2(g) + * -> O*,,Ag12,111,1.96179969
H2O(g) - H2(g) + * -> O*,,Ag12,111,2.0506805
H2O(g) - H2(g) + * -> O*,,Ni9Zr3,111,0.23585535
H2O(g) - H2(g) + * -> O*,,Ti3W9,111,-0.9746855
H2O(g) - H2(g) + * -> O*,,Ag12,111,3.42680848
H2O(g) - H2(g) + * -> O*,,Cr9V3,111,-2.8734834
H2O(g) - H2(g) + * -> O*,,Cr9V3,111,-2.7392314
H2O(g) - H2(g) + * -> O*,,Pt3Ru9,111,0.52143624
H2O(g) - H2(g) + * -> O*,,Cr9Pt3,111,-0.5681476
H2O(g) - H2(g) + * -> O*,,Cr9Pd3,111,2.44189204
H2O(g) - H2(g) + * -> O*,,Au3Cr9,111,-1.8565993
H2O(g) - H2(g) + * -> O*,,Ag3Cr9,111,-1.8001816
H2O(g) - H2(g) + * -> O*,,Cr9Pd3,111,-2.1008305
H2O(g) - H2(g) + * -> O*,,Cr9Cu3,111,-2.3345641
H2O(g) - H2(g) + * -> O*,,Cr9Cu3,111,-1.6144272
H2O(g) - H2(g) + * -> O*,,Al3Cr9,111,-0.3970384
H2O(g) - H2(g) + * -> O*,,Al3Cr9,111,-1.7350294
H2O(g) - H2(g) + * -> O*,,Al3Cr9,111,-1.8604747
H2O(g) - H2(g) + * -> O*,,Al3Cr9,111,-1.3584098
H2O(g) - H2(g) + * -> O*,,Cr9Ga3,111,-1.7062327
H2O(g) - H2(g) + * -> O*,,Cr9In3,111,-1.31531
H2O(g) - H2(g) + * -> O*,,Cr9Tl3,111,-1.272218
H2O(g) - H2(g) + * -> O*,,Cr9Tl3,111,-1.6129131
H2O(g) - H2(g) + * -> O*,,Cr9In3,111,-1.6921309
H2O(g) - H2(g) + * -> O*,,La3Mo9,111,-1.713566
H2O(g) - H2(g) + * -> O*,,Mo9W3,111,-2.0824765
H2O(g) - H2(g) + * -> O*,,Mo9W3,111,-2.2442812
H2O(g) - H2(g) + * -> O*,,Mo9Re3,111,-1.826225
H2O(g) - H2(g) + * -> O*,,Mo9Re3,111,-1.8600746
H2O(g) - H2(g) + * -> O*,,Mo9Tc3,111,-1.922964
