Alloy,Element 1,Ratio,Element 2,Carbon B.E.,Oxygen B.E.,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE',ElectronAffinity,Pauling,WorkFunction,dBandCenter
Au3Au,Au,3,Au,4.8,2.7,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,2.31,2.54,6.01,-3.56
Au3Cd,Au,3,Cd,4.9,1.8,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,48,112.41,12,5,1.61,1.46,594,1040,6.2,8.69,8.99,0.2,2.31,2.54,6.01,-3.56
Au3Pd,Au,3,Pd,3.7,2.5,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12,8.34,1.34,2.31,2.54,6.01,-3.56
Co3Co,Co,3,Co,1.7,-0.1,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,0.66,1.88,5.76,-1.17
Co3Ge,Co,3,Ge,2.7,0.5,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,32,72.64,14,4,1.25,2.02,1211,3106,36.9,5.32,7.9,0.87,0.66,1.88,5.76,-1.17
Co3Ir,Co,3,Ir,1.2,0,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,0.66,1.88,5.76,-1.17
Co3Ni,Co,3,Ni,1.7,0,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,28,58.69,10,4,1.49,1.75,1728,3186,17,8.9,7.64,1.92,0.66,1.88,5.76,-1.17
Co3Pt,Co,3,Pt,2.4,0.7,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,0.66,1.88,5.76,-1.17
Co3Rh,Co,3,Rh,1.5,0.2,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,45,102.91,9,5,1.73,1.45,2237,3968,26.6,12.4,7.46,1.99,0.66,1.88,5.76,-1.17
Cu3Cu,Cu,3,Cu,3.6,1.1,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,1.24,1.9,5.3,-2.67
