,Equation,Alloy,facet,reactionEnergy,Element 1,Ratio,Element 2,Carbon B.E.,Oxygen B.E.,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE',ElectronAffinity,Pauling,WorkFunction,dBandCenter
0,CH4(g) + 5* -> C* + 4H*,Au3Cd,111,6.485091154,Au,3,Cd,4.9,1.8,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,48,112.41,12,5,1.61,1.46,594,1040,6.2,8.69,8.99,0.2,2.31,2.54,6.01,-3.56
1,CH4(g) + 5* -> C* + 4H*,Au3Cu,111,5.805189557,Au,3,Cu,4.4,2.0,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,29,63.55,11,4,1.45,1.75,1358,2835,12.9,8.96,7.73,1.31,2.31,2.54,6.01,-3.56
2,CH4(g) + 5* -> C* + 4H*,Au3Pb,111,5.419068456000001,Au,3,Pb,4.6,1.5,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,82,207.2,14,6,1.54,1.55,601,2022,4.8,11.3,7.42,0.25,2.31,2.54,6.01,-3.56
3,CH4(g) + 5* -> C* + 4H*,Au3Pd,111,4.925831102,Au,3,Pd,3.7,2.5,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,46,106.42,10,5,1.69,1.35,1828,3236,16.7,12.0,8.34,1.34,2.31,2.54,6.01,-3.56
4,CH4(g) + 5* -> C* + 4H*,Au3Pt,111,2.698235925,Au,3,Pt,2.8,1.9,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,78,195.08,10,6,1.77,1.44,2042,4098,22.2,21.5,8.96,1.48,2.31,2.54,6.01,-3.56
5,CH4(g) + 5* -> C* + 4H*,Au3Sc,111,4.917695715,Au,3,Sc,3.1,-1.7,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,21,44.96,3,4,1.84,1.2,1814,3109,14.1,2.99,6.56,1.2,2.31,2.54,6.01,-3.56
6,CH4(g) + 5* -> C* + 4H*,Au3Y,111,4.718367022,Au,3,Y,3.4,-1.5,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,39,88.91,3,5,2.12,1.11,1795,3618,11.4,4.47,6.22,0.96,2.31,2.54,6.01,-3.56
7,CH4(g) + 5* -> C* + 4H*,Au3Zn,111,7.451813662,Au,3,Zn,4.4,1.3,79,196.97,11,6,1.74,1.42,1337,3129,12.7,19.3,9.23,0.74,30,65.38,12,4,1.42,1.66,693,1180,7.1,7.14,9.39,0.35,2.31,2.54,6.01,-3.56
8,CH4(g) + 5* -> C* + 4H*,Co3Ir,111,0.980464529,Co,3,Ir,1.2,0.0,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,77,192.22,9,6,1.8,1.55,2719,4701,41.1,22.5,8.97,2.28,0.66,1.88,5.76,-1.17
9,CH4(g) + 5* -> C* + 4H*,Co3Ni,111,0.967746336,Co,3,Ni,1.7,0.0,27,58.93,9,4,1.52,1.7,1768,3200,16.1,8.86,7.88,2.11,28,58.69,10,4,1.49,1.75,1728,3186,17.0,8.9,7.64,1.92,0.66,1.88,5.76,-1.17
